"adal_nr","nafn","V","N","fjarlægð","logMedal10","expMedal10","fjoldi.flokk","ath"
3,"Affall",-20.38276,63.61448,,6.045773416962585,422.32426395311705,,"ny"
158,"Blanda",-20.2962972802338,65.6602274039844,455,8.027070828273768,3062.7571793991215,15,""
208,"Botnsá",-21.3572318467797,64.3824052327425,-568,4.873991983354446,130.84219560315077,5,""
225,"Breiðdalsá",-14.0881297952453,64.7853632682553,1190,5.43355960826196,228.9628144975249,15,""
257,"Brynjudalsá",-21.4055168705755,64.3584182826719,-553,4.99112351818695,147.10160201297646,10,""
277,"Búðardalsá",-22.2277752006661,65.3099529493178,-200,6.105402527426639,448.2730473399648,10,""
343,"Deildará",-15.947506369337,66.4406396092805,850,5.734517292021702,309.3636024323769,10,""
378,"Dunká",-21.9402725053009,65.023985383268,-289,5.362634835173981,213.28618067598504,5,""
410,"Eldvatn í Meðallandi",-17.94967,63.60361,,3.748933544567917,42.47575933278369,5,""
411,"Elliðaár",-21.83705448,64.13247058,-553,7.365123120919313,1579.909934506436,15,""
515,"Fjarðarhornsá",-22.5471403081714,65.646037023244,-170,5.469586320244071,237.36198060217404,5,""
1384,"Flekkudalsá",-22.3732740876093,65.1596946801634,-232,5.596435537892236,269.4641986410901,10,""
1064,"Fljótaá",-19.0310680051817,66.0482189628868,610,5.743290105045709,312.08953102108507,10,""
531,"Flókadalsá í Fljótum",-19.1485445837866,66.0383229524396,610,3.967432560646143,52.848670750951506,5,""
537,"Fnjóská",-18.0923626766111,65.8968091637185,670,5.979029795182554,395.05689605844503,10,""
560,"Fossá á Skaga",-19.918556,65.944793,520,5.012917536207262,150.34272726118346,5,""
608,"Fróðá",-23.6153828027367,64.8912934824049,-350,4.945996923036202,140.6109593056437,5,""
465,"Fáskrúð",-21.7032759316159,65.1751612099506,-265,5.998896740362722,402.98395222118967,10,""
701,"Glerá í Dölum",-21.74432,65.20423,,3.983933734033039,53.7279706182016,,"ny"
716,"Gljúfurá",-20.4695892333984,65.5001521452225,450,3.7922791415481307,44.35738190862804,5,""
2052,"Grísholtsá og Bakká",-22.7733111898815,65.0173714760399,-321,4.319758828187308,75.17049710069811,5,""
835,"Haffjarðará",-22.41091333,64.80702757,-464,7.730086343945662,2275.798693742958,15,""
851,"Hafralónsá og Kverká",-15.3838915888037,66.141665550671,860,5.978379011490499,394.7998831120441,10,""
867,"Hallá",-20.2766422281493,65.7846671526647,465,5.267167823210627,193.86612106060878,5,""
883,"Haukadalsá",-21.77201311,65.03787707,-278,7.0540064507365905,1157.4868795528148,15,""
996,"Hofsá og Sunnudalsá",-14.8116129445708,65.7178198136908,1005,6.979668739332473,1074.5623477908189,15,""
1102,"Hrófá",-21.6641056414333,65.6601013913026,331,5.255940555061159,191.70170709793348,5,""
1106,"Hrútafjarðará og Síká",-21.0709396624489,65.1497443440009,390,6.838963629114474,933.5211590746686,10,""
1147,"Hvalsá",-21.18814,65.37508,,4.108608583537036,60.86197427371294,,"ny"
1199,"Hvolsá og Staðarhólsá",-21.9376426728931,65.3887973167204,-200,5.979315480578735,395.1697741673553,5,""
1189,"Hvítá í Borgarfirði",-21.76392488,64.58356948,-520,9.476385658870305,13047.941474233503,20,""
955,"Héraðsvötn",-19.4556927601712,65.5908949667528,559,6.97053934299388,1064.7968864366912,10,""
956,"Hítará",-22.3323857862058,64.6970082068203,-480,7.219473219184294,1365.769410051915,15,""
1216,"Hölkná",-15.5084639708459,66.1961967683568,860,4.908020592730574,135.3711943115442,5,""
1221,"Hörðudalsá",-21.7907629705151,65.0234777620693,-280,5.094817258828151,163.17402328744663,5,""
