nafn,V,N,fjarlægð,Meðalfjöldi,fjoldi.flokk,adal_nr,ATH
Álftá,-22.2348524160377,64.5836069338224,-495,641,10,69,
Blanda,-20.2962972802338,65.6602274039844,455,3984,15,158,
Botnsá,-21.3572318467797,64.3824052327425,-568,249,5,208,
Breiðdalsá,-14.0881297952453,64.7853632682553,1190,1250,15,225,
Brynjudalsá,-21.4055168705755,64.3584182826719,-553,347,10,257,
Búðardalsá,-22.2277752006661,65.3099529493178,-200,679,10,277,
Deildará,-15.947506369337,66.4406396092805,850,371,10,343,
Dunká,-21.9402725053009,65.023985383268,-289,234,5,378,
Eldvatn í Meðallandi,-17.94967,63.60361,,43,5,410,
Elliðaár,-21.83705448,64.13247058,-553,1665,15,411,
Eyjafjarðará,-18.0612290081214,65.643699140804,691,13,5,423,
Fáskrúð,-21.7032759316159,65.1751612099506,-265,513,10,465,
Fjarðarhornsá,-22.5471403081714,65.646037023244,-170,214,5,515,
Flekkudalsá,-22.3732740876093,65.1596946801634,-232,400,10,1384,
Fljótaá,-19.0310680051817,66.0482189628868,610,338,10,1064,
Flókadalsá í Fljótum,-19.1485445837866,66.0383229524396,610,40,5,531,
Fnjóská,-18.0923626766111,65.8968091637185,670,824,10,537,
Fossá á Skaga,-19.918556,65.944793,520,64,5,560,
Fróðá,-23.6153828027367,64.8912934824049,-350,188,5,608,
Geirlandsá í V-Skaft.,-18.048349853845,63.8147297848273,-1000,92,5,,Kúðafljót
Gljúfurá,-20.4695892333984,65.5001521452225,450,168,5,716,
Grísholtsá og Bakká,-22.7733111898815,65.0173714760399,-321,89,5,2052,Saurasíki
Haffjarðará,-22.41091333,64.80702757,-464,2582,15,835,
Hafralónsá og Kverká,-15.3838915888037,66.141665550671,860,726,10,851,
Hallá,-20.2766422281493,65.7846671526647,465,148,5,867,
Haukadalsá,-21.77201311,65.03787707,-278,1271,15,883,
Héraðsvötn,-19.4556927601712,65.5908949667528,559,629,10,955,
Hítará,-22.3323857862058,64.6970082068203,-480,1415,15,956,
Hofsá og Sunnudalsá,-14.8116129445708,65.7178198136908,1005,2517,15,996,
Hrolleifsdalsá,-19.4107351845637,66.0195309302862,594,19,5,1096,
Hrófá,-21.6641056414333,65.6601013913026,331,107,5,1102,
Hrútafjarðará og Síká,-21.0709396624489,65.1497443440009,390,797,10,1106,
Hvítá í Borgarfirði,-21.76392488,64.58356948,-520,15108,20,1189,
Hvolsá og Staðarhólsá,-21.9376426728931,65.3887973167204,-200,279,5,1199,
Hölkná,-15.5084639708459,66.1961967683568,860,236,5,1216,
Hörðudalsá,-21.7907629705151,65.0234777620693,-280,70,5,1221,
Ísafjarðará,-22.5828943609327,65.7813176916911,154,73,5,1268,
Kerlingardalsá og Vatnsá,-18.9051908108354,63.411633883786,-850,542,10,1360,
Krossá á Skarðsströnd,-22.3628878519189,65.2708294017863,-225,343,10,1462,
Krossá í Bitru,-21.38365319,65.4784584,322,155,5,1461,
Langadalsá / Hvannadalsá,-22.347893613717,65.8993382754938,137,900,10,1560,
Langá,-22.0132260301242,64.5722630590811,-520,3896,15,1568,
Laugardalsá í Ísafjarðardjúpi,-22.6445070342208,66.0079913313169,122,684,10,1579,
Laxá á Ásum,-20.3357643105902,65.614369,450,1387,15,1599,
Laxá á Refasveit,-20.2625811861789,65.7254858982825,458,472,10,1593,
Laxá á Skógarströnd,-22.12327272,65.02679273,-292,220,5,1585,
Laxá í Aðaldal,-17.4190358119556,65.9901686913489,790,2415,15,1591,
Laxá í Dölum,-21.77232,65.09869,,2241,15,1600,
Laxá í Hrútafirði,-21.1508454275531,65.261767611387,380,47,5,1584,
Laxá í Hvammssveit,-21.7794529784044,65.2062326216077,-265,104,5,1601,
Laxá í Kjós,-21.61263,64.3421,,2396,15,1590,
Laxá í Leirársveit,-21.85966847,64.38800729,-554,1970,15,1589,
Leirvogsá,-21.71058002,64.18258,-553,1115,15,1615,
Miðá og Tunguá,-21.7671220468492,65.024187042564,-281,507,10,1717,
Miðfjarðará,-20.9095441784382,65.3458294679127,410,4185,15,1733,
Miðjarðará við Bakkafj.,-15.0974429503912,66.0422430792035,950,409,10,1734,
Ormarsá,-15.904984401712,66.4074995970125,825,648,10,1885,
Prestbakkaá,-21.1954041449897,65.3142805504658,350,87,5,1910,
Rangárnar,-20.5567,63.68826,,18289,20,1040,
Sandá,-15.5721037809815,66.2165074578297,850,596,10,2007,
Selá í Steingrímsfirði,-21.7200413667371,65.7763582664214,350,68,5,2063,
Selá í Vopnafirði,-14.8028438459259,65.8259886507293,1000,3502,15,2080,
Selfljót og Gilsá,-13.9911360972489,65.5977827863711,1050,117,5,2097,
Setbergsá,-22.5672918265297,65.0339602019869,-311,78,5,1898,Ósá. Nánast engin skráning frá 2013
Skjálfandafljót,-17.632359123295,65.9867698851378,788,1108,15,2223,
Straumfjarðará,-22.7011689472606,64.8088874883025,-454,860,10,2385,
Svalbarðsá,-15.6937917037814,66.2229660607333,850,679,10,2424,
Tungufljót,-18.4929745266561,63.6818619194264,-890,64,5,,Kúðafljót
Úlfarsá (Korpa),-21.74713512,64.16508178,-553,425,10,2599,
Vatnas. Baugstaðaós,-20.9488566147356,63.819337787867,-722,63,5,110,
Vatnsdalsá,-20.3836423710055,65.5884267956652,450,1890,15,2645,
