"adal_nr","adalvatnsfall","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","M","hraMedal","logMedal","expMedal","M10","hraMedal10","logMedal10","expMedal10","N_ar","nafn","V","N","fjarlægð","Meðalfjöldi","fjoldi.flokk","ATH"
3,"Affall","Affall Affall Affallið","Suðurland",7,"1379",6179.207735822082,1446.3128661061671,6.370688609432191,584.4601551281372,6179.207735822082,1897.2784286331857,6.835138491586746,929.9571330466576,16,,-20.38276,63.61448,,,,"Affall"
69,"Álftá","Álftá Allt svæðið Álftá á Mýrum Veitá","Vesturland",2,"485 1922",1308,600.896089141744,6.335009762185561,563.9749085859054,787.5811284478763,571.2304457087201,6.300430552010916,544.806427139185,50,"Álftá",-22.2348524160377,64.5836069338224,-495,641,10,
110,"Baugsstaðaá","Baugsstaðaá Hróarholtslækur Hróarsholtslækur Hróarsholtslækur Baugstaðaós Hróarsholtslækur Voli","Suðurland",7,"559 1752 1951",128.88266424657877,50.99692718909176,3.7243577267076273,41.44460543155841,128.88266424657877,66.38586506982209,4.088511193030164,59.651016712268785,46,"Vatnas. Baugstaðaós",-20.9488566147356,63.819337787867,-722,63,5,
140,"Bjargaós","Hópið Víðidalsá og Fitjá Víðidalsá Laxasvæði Víðidalsá Silungasvæði","Norðurland vestra",4,"101 2179",4162,2110.8704709297645,7.566409406610516,1932.190102383226,3092.358939802336,1810.5153075558455,7.459205220005369,1735.767955336544,49,"Víðidalsá og Fitjá",-20.5406041846245,65.5018010396744,440,2067,15,"Bjargaós"
158,"Blanda","Blanda Allt svæðið Svartá Allt svæðið Blanda Blöndulón Svartá","Norðurland vestra",4,"61 437 1966",12166.04492362983,2948.5752343687113,7.809663705710555,2464.3015653773737,12166.04492362983,4022.7261718435584,8.027070828273768,3062.7571793991215,50,"Blanda",-20.2962972802338,65.6602274039844,455,3984,15,
208,"Botnsá","Botnsá Botnsá Litli-Botn Botnsá Stóri-Botn","Reykjanes",1,"487",484,219.74230017033696,5.238111926011798,188.31421536921337,334.5132566764478,192.36612074948266,5.015020337345182,150.65920074293047,44,"Botnsá",-21.3572318467797,64.3824052327425,-568,249,5,
257,"Brynjudalsá","Brynjudalsá Brynjudalsá Hvalfirði Brynjudalsá","Reykjanes",1,"434",1194,302.32347000477483,5.482194867913018,240.37371736340134,279.9670018440154,184.81995780218256,5.127794832226488,168.64481758635685,46,"Brynjudalsá",-21.4055168705755,64.3584182826719,-553,347,10,
277,"Búðardalsá","Búðardalsá Búðardalsá á Skarðsströnd Búðardalsá - Allt svæðið","Vesturland",2,"431",1329,427.878264449129,5.700339918221458,298.969008710632,978.4930203613898,556.113057796516,6.246430881417374,516.1672709290011,40,"Búðardalsá",-22.2277752006661,65.3099529493178,-200,679,10,
343,"Deildará","Deildará Deildará á Sléttu Deildará","Norðurland eystra",5,"580",782,338.3261526336975,5.711691510152613,302.38211836091676,578,332.815532641748,5.734517292021702,309.3636024323769,48,"Deildará",-15.947506369337,66.4406396092805,850,371,10,
378,"Dunká (Bakká)","Dunká Dunká (Bakká) Öll","Vesturland",2,"520",620,233.0332271270025,5.341588000463723,208.8440916169404,433.2386281060865,263.2061674969117,5.503663189164717,245.5899288607044,47,"Dunká",-21.9402725053009,65.023985383268,-289,234,5,
410,"Eldvatn","Eldvatn Allt svæðið Eldvatn Eldvatn Botnar Eldvatn Meðallandi Skálmarbær Tjörn Steinsmýrarvötn","Suðurland",7,"528 659 679 1740 1954",220,46.01238718358648,3.43908926966774,31.15856818930446,115.07901059067922,54.21069719957378,3.8899618985586533,48.90902298395979,49,"Eldvatn í Meðallandi",-17.94967,63.60361,,43,5,
411,"Elliðaár","Elliðaár Allt svæðið Elliðaár Vorveiði Elliðaár Elliðaár Elliðavatn","Reykjanes",1,"560 1948",4130,2169.3894494584674,7.6088277809168074,2015.9136197293412,2424.558395404828,1862.3972472923372,7.506151474910048,1819.1988210019244,50,"Elliðaár",-21.83705448,64.13247058,-553,1665,15,
515,"Fjarðarhornsá","Fjarðarhornsá Fjarðarhornsá Kollafirði Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,468.1495956873315,261.1779185371841,5.469586320244071,237.36198060217404,40,"Fjarðarhornsá",-22.5471403081714,65.646037023244,-170,214,5,
531,"Flókadalsá","Flókadalsá Flókadalsá Neðri hluti","Norðurland vestra",4,"740",728,107.19152580513608,4.08399473996931,59.382213171471804,102.57518796992481,58.23525580105785,3.967432560646143,52.848670750951506,41,"Flókadalsá í Fljótum",-19.1485445837866,66.0383229524396,610,40,5,
537,"Fnjóská","Bakkaá Fnjóskadal Fnjóská Fnjóská Laxasvæði","Norðurland eystra",5,"761 1103",2009.5,552.3565920836568,6.118953503940841,454.388929375864,1020.5,443.19730120991824,5.979029795182554,395.05689605844503,49,"Fnjóská",-18.0923626766111,65.8968091637185,670,824,10,
560,"Fossá","Fossá í Skefilstaðahreppi Fossá öll veiðisvæði","Norðurland vestra",4,"919",221.9682710406023,76.2630649709353,4.086326442150765,59.52083635865133,221.9682710406023,155.81009886630235,5.012917536207262,150.34272726118346,46,"Fossá á Skaga",-19.918556,65.944793,520,64,5,
608,"Fróðá","Fróðá Fróðá Fróðá","Vesturland",2,"430",468,158.45137411240816,4.749425822118502,115.5179376368446,262.71257429498064,175.99090868335506,5.087025277026938,161.90751498039572,43,"Fróðá",-23.6153828027367,64.8912934824049,-350,188,5,
618,"Fögruhlíðará","Fögruhlíðará Allt svæðið Fögruhlíðará Fögruhlíðará Héraðsflóa","Austfirðir",6,"999 1904",165,60.83740270897541,3.689752039940704,40.034918665621454,165,52.12358460525821,3.323326662682404,27.75252043855092,17,,-14.38734,65.72038,,,,"Fögruhlíðará"
716,"Gljúfurá","Gljúfurá - Húnaþing Öll svæði Gljúfurá Húnaþingi","Norðurland vestra",4,"879",298,108.8296060485979,4.323915265484816,75.48358878074112,176.7208927130949,57.65362117009262,3.7922791415481307,44.35738190862804,35,"Gljúfurá",-20.4695892333984,65.5001521452225,450,168,5,
835,"Haffjarðará","Haffjarðará Haffjarðará Haffjarðará Hlíðarvatn Mýrum","Vesturland",2,"939 1279",3558.9074665787866,1823.949350596477,7.430760620361544,1687.090320712641,3558.9074665787866,2693.196752982386,7.871114697936398,2620.485009981465,50,"Haffjarðará",-22.41091333,64.80702757,-464,2582,15,
851,"Hafralónsá","Hafralónsá Kverká Hafralónsá Laxasvæði","Norðurland eystra",5,"402 425",1079.5,516.4715309103262,6.113763832824028,452.0369086591229,568,412.5133483695658,5.978379011490499,394.7998831120441,48,"Hafralónsá og Kverká",-15.3838915888037,66.141665550671,860,726,10,
867,"Hallá","Hallá Allt svæðið Hallá Skagaströnd","Norðurland vestra",4,"959",349,152.23571208654823,4.863401222667662,129.46378929143668,344.05082011293354,205.62213472022844,5.267167823210627,193.86612106060878,37,"Hallá",-20.2766422281493,65.7846671526647,465,148,5,
883,"Haukadalsá","Haukadalsá Efri Haukadalsá Laxasvæði Þverá Laxasvæði Haukadalsá Haukadalsvatn","Vesturland",2,"759 2279",2833.8767860519474,1415.5977287562728,7.193418248091342,1330.6439115671517,2833.8767860519474,1470.5886437813645,7.195034804727326,1332.796712405951,50,"Haukadalsá",-21.77201311,65.03787707,-278,1271,15,
