"ar","Afli_Smálax","Sleppt_Smálax","Afli_Stórlax","Sleppt_Stórlax","Afli_heild","Sleppt_heild","nadd"
2002,765,78,32,14,797,92,125
2003,494,55,51,17,545,72,NA
2004,339,26,42,6,381,32,NA
2005,1124,77,40,9,1164,86,139
2006,739,63,20,8,759,71,NA
2007,410,90,5,15,415,105,NA
2008,1020,208,7,74,1027,282,NA
2009,790,113,9,72,799,185,NA
2010,1010,18,3,22,1013,40,846
2011,446,69,11,42,457,111,NA
2012,231,20,4,67,235,87,NA
2013,870,273,22,94,892,367,NA
2014,203,28,5,72,208,100,NA
2015,676,193,3,49,679,242,NA
2016,311,87,3,96,314,183,NA
2017,408,168,6,99,414,267,NA
2018,267,95,1,58,268,153,NA
2019,85,66,0,82,85,148,NA
2020,133,166,1,46,134,212,NA
2021,201,263,1,42,202,305,NA
2022,168,275,0,73,168,348,NA
2023,83,182,2,41,85,223,NA
2024,180,420,1,88,181,508,NA
